gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448180,-0.9456707239151001,-0.8547255396842957,-9.695276260375977,0.0057776994071900845,-0.09020955115556717,0.018110152333974838
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448270,-0.950324296951294,-0.8654810190200806,-9.689062118530273,0.01340140774846077,-0.03911397606134415,-0.004384633153676987
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448410,-0.937594473361969,-0.8586797118186951,-9.694682121276855,0.014777682721614838,-0.03976500779390335,-0.03676823526620865
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448520,-0.939419150352478,-0.8594322204589844,-9.689130783081055,0.016636673361063004,-0.041815806180238724,-0.011725925840437412
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448620,-0.9475030899047852,-0.8587871193885803,-9.693784713745117,0.020802946761250496,-0.017100300639867783,-0.03104841336607933
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448730,-0.9439714550971985,-0.8560644388198853,-9.702935218811035,0.042925409972667694,-0.06633997708559036,0.01968340203166008
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448840,-0.9494467973709106,-0.8587610125541687,-9.695473670959473,-0.0005703403730876744,-0.08712728321552277,0.01615944691002369
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195448940,-0.9386313557624817,-0.8654088973999023,-9.686774253845215,-0.012965320609509945,-0.05061544477939606,0.01590597629547119
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449050,-0.9433941841125488,-0.8597338199615479,-9.695491790771484,0.05727037414908409,-0.07990320771932602,0.01645873859524727
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449170,-0.9398665428161621,-0.8592106699943542,-9.690692901611328,-0.0007831588736735284,-0.014576748013496399,-0.024718930944800377
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449280,-0.9428902268409729,-0.8558549284934998,-9.69357681274414,0.035601548850536346,-0.07750048488378525,0.025608446449041367
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449390,-0.9427106976509094,-0.8497016429901123,-9.683110237121582,-0.012935562059283257,-0.013138447888195515,-0.054675523191690445
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449500,-0.949756920337677,-0.8533483147621155,-9.69600772857666,0.029847847297787666,-0.08739861845970154,-0.04304672032594681
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449600,-0.9459773302078247,-0.8606259226799011,-9.690595626831055,0.02799869328737259,-0.05026928335428238,-0.017540596425533295
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449710,-0.9493277072906494,-0.8586077690124512,-9.69340705871582,0.04610138013958931,-0.044313520193099976,-0.0037382328882813454
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449830,-0.9436025619506836,-0.8591511845588684,-9.69244384765625,0.020432420074939728,-0.061877019703388214,-0.046456363052129745
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195449940,-0.9442388415336609,-0.8456243276596069,-9.694332122802734,0.030533606186509132,0.00039048472535796463,-0.035243574529886246
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450040,-0.9430973529815674,-0.856503963470459,-9.693089485168457,-0.02727481536567211,-0.07929088920354843,0.004268961492925882
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450150,-0.9377760887145996,-0.8572264909744263,-9.69517707824707,-0.01576504111289978,-0.06775734573602676,-0.023562371730804443
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450260,-0.9427493214607239,-0.8538398742675781,-9.685568809509277,0.07301024347543716,-0.0698499009013176,0.010767247527837753
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450370,-0.9385365843772888,-0.8513040542602539,-9.692097663879395,0.0046250238083302975,-0.08199457824230194,-0.00023362132196780294
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450490,-0.9455035328865051,-0.8598928451538086,-9.687758445739746,0.014090990647673607,-0.032045815140008926,-0.01121786329895258
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450590,-0.942647397518158,-0.8584462404251099,-9.687712669372559,0.002184647601097822,-0.030450765043497086,-0.013413192704319954
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450710,-0.9458973407745361,-0.8674201369285583,-9.701613426208496,0.049144160002470016,-0.09318288415670395,-0.012848985381424427
gps_week,gps_millisecs,x_accel,y_accel,z_accel,x_gyro,y_gyro,z_gyro
2206,195450810,-0.9422330260276794,-0.8672996759414673,-9.691826820373535,0.02721293270587921,0.004187479615211487,0.004405112471431494
